id,Feature,Lable
144,"[34, 30, 30, 28, 27, 27, 25, 23, 11, 11, 11, 11]",26
145,"[19, 19, 19, 19, 19, 19, 19, 11, 11, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5]",3
146,"[29, 29, 29, 19, 14, 14, 11, 10, 6]",26
147,"[31, 29, 28, 28, 27, 25, 25, 25, 23, 23, 23, 11]",19
148,"[14, 14, 11, 11, 5, 5]",12
149,"[26, 11, 11, 11, 5, 5, 5, 5, 5, 2]",4
150,"[28, 28, 14, 11]",9
151,"[29, 28, 26, 26, 25, 14, 11, 10, 5]",4
152,"[28, 28, 28, 28, 22, 22, 5, 5, 5]",14
153,"[30, 14, 14, 14, 11, 11, 11, 11, 6, 6, 6, 6, 6, 6, 6, 6, 2, 1, 1, 1, 1]",0
154,"[11, 11, 11, 11]",12
155,"[14, 11, 6, 6, 6, 2, 2]",12
156,"[27, 26, 25, 25, 25, 22, 22, 22, 22, 19, 14, 11, 6, 5, 5, 2]",14
157,"[34, 34, 34, 34, 30, 30, 30, 30, 17, 17, 17, 17, 6, 6, 6, 6]",26
158,"[28, 11, 6, 6]",9
159,"[29, 29, 25, 25, 25, 25, 23, 19, 19, 19, 18, 18, 17, 17, 14, 14, 11, 11, 11, 10, 8, 6, 6, 5, 2]",6
160,"[28, 28, 28, 28]",25
161,"[30, 30, 30, 30, 22, 22, 22, 22]",14
162,"[14, 14, 14, 14]",12
163,"[5, 5, 5, 5]",15
164,"[19, 19, 11, 5]",5
165,"[30, 30, 28, 28, 27, 27, 27, 26, 25]",26
166,"[11, 11, 2, 2, 2, 2, 2, 2]",12
167,"[23, 5, 5, 5]",15
168,"[30, 26, 26, 26, 19, 19, 11, 11, 5, 2, 2]",4
169,"[23, 19, 11, 11, 11, 11, 11, 6, 6]",12
170,"[28, 28, 25, 25, 25, 25, 19, 19, 10, 10, 10, 10]",26
171,"[28, 28, 28, 28, 28, 26, 26, 26, 11, 11, 11, 5, 5, 5]",26
172,"[11, 11, 11, 11]",12
173,"[28, 28, 28, 28]",25
174,"[30, 29, 25, 23, 19, 17, 17, 17, 14, 11, 11, 11, 6, 6, 5, 5, 5]",6
175,"[23, 5, 5, 5, 5, 5, 5, 5]",5
176,"[28, 28, 27, 27, 25, 25, 23, 23, 11, 11, 11, 11, 5, 5, 5, 5]",26
177,"[6, 5, 5, 5, 5, 5]",0
178,"[19, 19, 19, 6]",0
179,"[14, 6, 6, 2, 2]",15
180,"[23, 5, 5, 5]",15
181,"[19, 5, 5, 5, 5]",5
182,"[19, 19, 5, 5]",0
183,"[19, 11, 6, 6]",5
184,"[29, 25, 19, 19, 17, 17, 17, 17, 10, 10]",24
185,"[25, 11, 11, 11]",12
186,"[28, 28, 27, 27, 27, 27, 19, 19, 19, 19]",24
187,"[11, 6, 6, 6]",15
188,"[34, 32, 19, 19, 6, 6, 6, 6, 2, 2, 2, 2]",9
189,"[28, 28, 28, 28, 28, 27, 27, 26, 26, 25, 25, 10, 10]",26
190,"[28, 28, 28, 26, 26, 26, 6]",14
191,"[28, 28, 27, 27, 25, 25, 25, 23, 23, 23]",26
192,"[28, 28, 25, 25, 25, 25, 19, 19, 19, 19, 10, 10, 10, 10]",26
193,"[27, 26, 26, 18, 18, 17, 17, 11, 11, 11, 6, 6, 5, 5, 5, 5, 5]",6
194,"[28, 19, 11, 6]",9
195,"[19, 11, 11, 11]",12
196,"[19, 2, 2, 0]",5
197,"[27, 6, 6, 6]",15
198,"[19, 19, 19, 19]",0
